Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100013502,15.10000038,145.4786072,5
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.008596051,11.80000019,115.3491974,5
Regular,FDR28,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.025896486,13.85000038,165.0209961,5
Regular,FDL50,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.042277869,12.14999962,126.5046005,5
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.033970196,19.60000038,55.16139984,5
Low Fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.005505481,8.890000343,102.4016037,5
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098312423,11.80000019,81.46179962,5
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.026903713,19.70000076,96.07260132,5
Low Fat,FDW20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.024129331,20.75,124.1729965,5
Low Fat,FDX25,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.101561569,12.85764534,181.9291992,5
Low Fat,FDX21,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.084554568,12.85764534,109.8911972,5
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052044977,18.85000038,192.1846008,5
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128937662,17.10000038,112.3886032,5
Low Fat,NCR54,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.090486825,16.35000038,195.2109985,5
Low Fat,FDH19,Meat,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.03292824,12.85764534,173.1737976,5
Regular,FDB57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.018801549,20.25,222.1772003,5
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.147023827,17.85000038,93.74359894,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.077628054,19.20000076,197.6109924,5
Low Fat,FDJ56,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.182514876,12.85764534,98.76999664,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016895292,12.10000038,178.5659943,5
Regular,FDZ07,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0,12.85764534,60.2193985,5
Low Fat,NCK31,Others,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.026916794,12.85764534,50.96659851,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.022976497,6.849999905,261.6593933,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.042413704,17.25,173.1764069,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065431915,16,76.19860077,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.140241206,13.35000038,150.2391968,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.033935577,6.695000172,221.9456024,5
Regular,FDO19,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.016516276,12.85764534,47.40340042,5
Low Fat,FDO04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.026537206,16.60000038,57.26139832,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.13112846,6.920000076,93.18039703,5
Low Fat,NCJ30,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.08064048,5.820000172,167.779007,5
Low Fat,NCQ41,Health and Hygiene,2000,OUT013,Tier 3,High,Supermarket Type1,0.01946418,14.80000019,196.3793945,5
Low Fat,DRJ35,Hard Drinks,2000,OUT013,Tier 3,High,Supermarket Type1,0.046545785,10.10000038,59.9878006,5
Low Fat,NCE31,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.18468976,7.670000076,35.42160034,5
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.025342692,15.60000038,174.3054047,5
Low Fat,FDZ04,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.037923507,9.31000042,61.65100098,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121848434,11.80000019,46.84019852,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029745,13.14999962,88.68560028,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.057485327,16.25,126.2045975,5
Regular,FDP51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.085274987,13.85000038,119.6123962,5
Regular,FDT50,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.10814891,6.75,95.67520142,5
Regular,FDQ08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.018838681,12.85764534,62.95360184,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.048115544,10.5,159.0946045,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621344,9.300000191,104.296402,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105994657,20.75,150.5682068,5
Low Fat,NCJ31,Others,2000,OUT013,Tier 3,High,Supermarket Type1,0.182501778,19.20000076,239.2196045,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.048931174,18.10000038,127.3336029,5
Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013658248,17.5,256.3304138,5
Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.011305479,10.5,235.5247955,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896,7.974999905,82.42500305,5
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025867352,10,264.6225891,5
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.024201905,10.10000038,114.9150009,5
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028461453,8.930000305,152.2339935,5
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086266287,7.300000191,147.2075958,5
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.005557062,7.929999828,122.1414032,5
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.013834247,15.35000038,62.71680069,5
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016637301,19.35000038,120.9097977,5
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03133158,9.5,111.1228027,5
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.041459803,10.5,39.21640015,5
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.60000038,111.9517975,5
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.003597678,5.880000114,153.8997955,5
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.086916126,8.880000114,153.3681946,5
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035247643,10.60000038,84.72239685,5
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.028365524,6.130000114,110.0912018,5
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.015186146,6.380000114,144.9470062,5
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.048134591,9.194999695,107.7621994,5
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04779188,11.30000019,180.7660065,5
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.007468056,12.60000038,186.9555969,5
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113694958,17.25,253.4723969,5
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.067400031,19.10000038,41.979599,5
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026882496,9.800000191,126.302002,5
